               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10513,            0.058049,            0.036267,             0.35524,            0.062615,           0.0097597,           0.0024987,            0.088822,            0.052331,            0.028184,            0.070698,           0.0032558,           0.0032558
                   1,            0.080456,            0.047098,            0.020493,             0.73768,             0.16598,            0.084444,            0.027019,            0.078873,            0.037485,            0.023489,            0.040567,           0.0064587,           0.0064587
                   2,            0.076331,            0.040689,            0.017844,             0.81141,             0.22248,             0.22334,             0.07393,            0.059659,            0.036366,            0.022175,            0.010305,           0.0095296,           0.0095296
                   3,            0.071435,            0.037597,            0.016532,             0.63515,             0.42296,             0.31945,             0.10882,            0.057282,            0.033121,             0.01791,            0.009406,            0.009406,            0.009406
                   4,            0.061098,            0.035506,            0.013225,             0.63723,             0.48719,               0.376,             0.13734,            0.060452,            0.032529,            0.015377,            0.009406,            0.009406,            0.009406
                   5,            0.055176,            0.034151,            0.010704,             0.76405,             0.48556,             0.46548,             0.17485,            0.050827,            0.030973,            0.014718,            0.009208,            0.009208,            0.009208
                   6,            0.052196,            0.036414,           0.0095678,             0.81492,             0.51941,             0.54657,             0.22412,            0.046852,            0.030751,             0.01486,             0.00901,             0.00901,             0.00901
                   7,            0.047961,            0.032723,           0.0087669,               0.888,             0.55459,             0.61046,             0.29937,            0.038234,            0.029746,            0.012056,            0.008812,            0.008812,            0.008812
                   8,            0.045002,            0.032011,           0.0086052,             0.75691,             0.54143,             0.53454,             0.28019,            0.040998,              0.0298,            0.014625,            0.008614,            0.008614,            0.008614
                   9,            0.043044,            0.032711,            0.008097,             0.89974,              0.5456,             0.61909,             0.33904,             0.03554,            0.027844,            0.013676,            0.008416,            0.008416,            0.008416
                  10,            0.041014,            0.031012,           0.0078125,             0.88655,             0.56618,             0.61489,             0.33354,            0.035197,            0.027947,            0.015066,            0.008218,            0.008218,            0.008218
                  11,            0.040544,            0.031172,            0.007147,              0.8946,              0.5979,             0.65539,             0.37135,             0.03353,            0.028162,            0.012898,             0.00802,             0.00802,             0.00802
                  12,            0.038662,            0.031391,           0.0073062,              0.9029,             0.62399,             0.67085,             0.37889,            0.037234,            0.027954,            0.011251,            0.007822,            0.007822,            0.007822
                  13,            0.037512,            0.031323,           0.0072335,             0.87959,             0.58765,             0.64826,             0.37239,            0.032246,            0.027639,            0.014734,            0.007624,            0.007624,            0.007624
                  14,            0.036507,            0.030209,           0.0070724,             0.93172,             0.60308,             0.65776,             0.36052,             0.03151,            0.027284,            0.010077,            0.007426,            0.007426,            0.007426
                  15,            0.036441,            0.030263,           0.0069906,              0.9162,             0.59134,             0.67934,             0.38942,            0.032409,            0.027344,             0.01105,            0.007228,            0.007228,            0.007228
                  16,            0.035947,            0.028457,           0.0066114,              0.9377,             0.60401,             0.67355,             0.42275,            0.030069,            0.027268,           0.0099779,             0.00703,             0.00703,             0.00703
                  17,              0.0345,            0.029466,           0.0061789,             0.89015,             0.58123,             0.64047,             0.36901,            0.031973,            0.027161,            0.011504,            0.006832,            0.006832,            0.006832
                  18,            0.034096,            0.028936,            0.006889,             0.92275,             0.60745,             0.67501,             0.43021,            0.029051,            0.026681,            0.010056,            0.006634,            0.006634,            0.006634
                  19,            0.033041,            0.029389,           0.0056576,             0.92757,              0.5993,             0.66284,             0.41272,            0.030476,            0.027136,            0.010343,            0.006436,            0.006436,            0.006436
                  20,            0.032336,            0.030033,           0.0059098,               0.944,             0.58486,             0.67029,             0.41579,            0.029427,            0.026725,             0.00944,            0.006238,            0.006238,            0.006238
                  21,            0.031748,            0.027058,           0.0058088,              0.9188,             0.59952,             0.67529,             0.42594,            0.028741,            0.026746,            0.010101,             0.00604,             0.00604,             0.00604
                  22,            0.031506,            0.027948,           0.0055109,             0.94074,             0.58292,             0.67079,             0.41451,            0.029042,            0.026988,           0.0090278,            0.005842,            0.005842,            0.005842
                  23,            0.031203,            0.026813,           0.0055524,             0.93142,             0.60172,             0.68857,             0.42541,            0.028632,            0.026635,            0.010291,            0.005644,            0.005644,            0.005644
                  24,            0.030575,            0.027984,           0.0053291,             0.93192,             0.61346,             0.68517,              0.4187,            0.029408,            0.026996,           0.0092163,            0.005446,            0.005446,            0.005446
                  25,            0.030112,            0.026941,           0.0050355,             0.52972,             0.72096,             0.68301,             0.44317,            0.026546,            0.026934,           0.0091371,            0.005248,            0.005248,            0.005248
                  26,            0.029676,            0.025868,            0.005283,             0.94403,                0.61,             0.68654,             0.45186,            0.026281,            0.026399,            0.008145,             0.00505,             0.00505,             0.00505
                  27,            0.028416,             0.02469,           0.0046537,             0.56439,             0.72589,             0.69495,             0.44355,            0.026487,            0.026545,           0.0080648,            0.004852,            0.004852,            0.004852
                  28,            0.028588,            0.026838,           0.0050323,             0.54784,             0.70963,             0.69106,             0.44873,            0.025918,            0.026382,           0.0084968,            0.004654,            0.004654,            0.004654
                  29,            0.028588,            0.024848,           0.0050261,             0.55911,             0.72819,             0.69879,             0.45704,            0.027283,            0.026012,           0.0082359,            0.004456,            0.004456,            0.004456
                  30,            0.027481,            0.024606,           0.0048152,             0.55366,             0.76999,             0.69032,             0.45735,            0.025825,            0.025486,           0.0074536,            0.004258,            0.004258,            0.004258
                  31,            0.027591,            0.026524,           0.0044192,             0.56942,             0.77263,             0.70821,              0.4833,            0.025408,            0.025708,           0.0076104,             0.00406,             0.00406,             0.00406
                  32,            0.026382,            0.026504,            0.004386,             0.58829,             0.77985,             0.73892,             0.48242,            0.027001,             0.02645,           0.0079723,            0.003862,            0.003862,            0.003862
                  33,            0.026575,            0.024096,           0.0042891,               0.605,             0.72895,             0.73935,             0.49197,            0.025669,            0.025812,           0.0084089,            0.003664,            0.003664,            0.003664
                  34,            0.026439,            0.024252,           0.0044193,             0.64557,             0.76694,             0.76695,              0.5131,            0.025485,            0.026023,           0.0079611,            0.003466,            0.003466,            0.003466
                  35,            0.025561,            0.024602,           0.0040007,             0.65545,             0.78683,             0.76466,             0.51838,            0.025191,            0.026322,           0.0076723,            0.003268,            0.003268,            0.003268
                  36,            0.025582,            0.025311,           0.0045858,             0.64665,             0.77187,             0.74295,             0.50516,            0.025241,            0.026003,           0.0070066,             0.00307,             0.00307,             0.00307
                  37,             0.02559,             0.02542,           0.0041478,             0.67409,             0.78992,             0.75459,              0.5063,            0.025011,            0.026122,           0.0077844,            0.002872,            0.002872,            0.002872
                  38,            0.025562,             0.02584,           0.0038254,             0.63044,              0.8336,              0.7749,             0.52095,            0.024615,            0.026049,           0.0074528,            0.002674,            0.002674,            0.002674
                  39,            0.024618,            0.023923,           0.0035522,             0.71445,             0.80721,             0.81077,             0.55429,            0.024432,            0.026132,           0.0081872,            0.002476,            0.002476,            0.002476
                  40,            0.024055,            0.025098,           0.0037289,             0.71716,             0.78499,             0.80359,             0.54898,            0.024828,            0.026283,           0.0081823,            0.002278,            0.002278,            0.002278
                  41,            0.024084,            0.024132,           0.0037175,              0.7532,             0.75369,             0.79653,             0.54652,            0.024215,            0.025485,           0.0072824,             0.00208,             0.00208,             0.00208
                  42,            0.023331,            0.023851,           0.0034222,             0.68956,             0.79179,             0.79527,             0.54493,            0.024979,            0.025854,           0.0071897,            0.001882,            0.001882,            0.001882
                  43,            0.023435,            0.023911,           0.0033483,             0.69567,             0.78763,             0.79719,             0.54257,            0.024991,            0.025714,           0.0070406,            0.001684,            0.001684,            0.001684
                  44,            0.022611,            0.022513,           0.0032324,             0.72561,             0.74582,             0.81797,             0.56599,             0.02433,            0.025856,            0.007077,            0.001486,            0.001486,            0.001486
                  45,            0.023136,            0.023034,           0.0032935,             0.72839,             0.74037,             0.80535,             0.56395,            0.024008,            0.025956,           0.0077005,            0.001288,            0.001288,            0.001288
                  46,            0.023213,            0.024005,           0.0031255,             0.72075,             0.79523,             0.82221,             0.57405,            0.024198,            0.025952,           0.0071329,             0.00109,             0.00109,             0.00109
                  47,            0.022026,            0.022229,            0.002675,             0.71967,             0.77158,             0.81115,             0.55795,            0.024253,            0.025982,            0.007102,            0.000892,            0.000892,            0.000892
                  48,            0.022429,            0.022947,           0.0028672,             0.70378,             0.79189,              0.8151,             0.55884,            0.024247,            0.026265,            0.007247,            0.000694,            0.000694,            0.000694
                  49,             0.02255,            0.023313,           0.0028552,             0.76323,             0.78701,             0.82654,             0.57318,            0.024154,             0.02573,           0.0069978,            0.000496,            0.000496,            0.000496
